Country,Region,HDI,Footprint_Crop,Footprint_Graze,Footprint_Forest,Footprint_Carbon,Footprint_Fish,Footprint_Total,Land_Crop,Land_Grazing,Land_Forest,Water_Fishing,Land_Urban,Biocapacity_Total,BioCap_RD,Earths_Req,Countries_Req,Data_Quality,Surface_Area,Population,PopDensity,PopGrowth,PopUrban,GDP,GDPpercap,GDPgrowth,EconAg,EconInd,EconService,Unemployment,Export,Import,Gov_Education,Women_Parliment,Threat_Species,Forest_Area,Emissions_CO2,Energy_Prod
Afghanistan,Middle East/Central Asia,0.46,0.3,0.2,0.08,0.18,0.0,0.79,0.24,0.2,0.02,0.0,0.04,0.5,-0.3,0.46,1.6,6,652864,35530.0,54.4,3.2,26.7,20270.0,-2.4,623.2,23.3,23.3,28.5,8.6,1458,3568,3.3,27.7,2.1,9.8/0.3,63.0,5.0
Albania,Northern/Eastern Europe,0.73,0.78,0.22,0.25,0.87,0.02,2.21,0.55,0.21,0.29,0.07,0.06,1.18,-1.03,1.27,1.87,6,28748,2930.0,106.9,-0.1,57.4,11541.0,2.6,3984.2,22.4,26.0,40.3,15.8,1962,4669,3.5,22.9,28.2,5.7/2.0,84.0,36.0
Algeria,Africa,0.73,0.6,0.16,0.17,1.14,0.01,2.12,0.24,0.27,0.03,0.01,0.03,0.59,-1.53,1.22,3.61,5,2381741,41318.0,17.3,2.0,70.7,164779.0,3.8,4154.1,12.2,37.3,54.7,11.4,29992,47091,...,31.6,0.8,145.4/3.7,5900.0,55.0
Angola,Africa,0.52,0.33,0.15,0.12,0.2,0.09,0.93,0.2,1.42,0.64,0.26,0.04,2.55,1.61,0.54,0.37,6,1246700,29784.0,23.9,3.5,44.1,117955.0,3.0,4714.1,6.8,51.2,58.2,6.6,21011,8790,...,38.2,46.5,34.8/1.4,3902.0,25.0
Argentina,Latin America,0.83,0.78,0.79,0.29,1.08,0.1,3.14,2.64,1.86,0.66,1.67,0.1,6.92,3.78,1.82,0.45,6,2780400,44271.0,16.2,1.0,91.8,632343.0,2.4,14564.5,6.0,27.8,73.1,6.5,57733,55610,5.3,38.9,10.0,204.0/4.7,3167.0,85.0
Armenia,Middle East/Central Asia,0.73,0.74,0.18,0.34,0.89,0.01,2.23,0.44,0.26,0.1,0.02,0.07,0.89,-1.35,1.29,2.52,3B,29743,2930.0,102.9,0.3,62.7,10529.0,3.0,3489.1,19.0,28.3,49.3,16.6,1776,3230,2.8,9.9,11.7,5.5/1.8,48.0,46.0
Australia,Asia-Pacific,0.93,2.68,0.63,0.89,4.85,0.11,9.31,5.42,5.81,2.01,3.19,0.14,16.57,7.26,5.37,0.56,5,7692060,24451.0,3.2,1.5,89.4,1230859.0,2.4,51352.2,2.5,26.5,76.1,5.5,189630,189406,5.2,28.7,16.2,361.3/15.3,15282.0,222.0
Austria,European Union,0.88,0.82,0.27,0.63,4.14,0.06,6.06,0.71,0.16,2.04,0.0,0.15,3.07,-3.0,3.5,1.98,5,83871,8736.0,106.0,0.6,66.0,376967.0,1.0,44117.7,1.3,28.3,69.7,6.2,145503,149299,5.5,30.6,46.9,58.7/6.9,505.0,158.0
Azerbaijan,Middle East/Central Asia,0.75,0.66,0.22,0.11,1.25,0.01,2.31,0.46,0.2,0.11,0.02,0.06,0.85,-1.46,1.33,2.72,6,86600,9828.0,118.9,1.3,54.6,53049.0,0.7,5438.7,6.7,49.9,49.1,5.2,9143,8532,2.6,16.8,13.5,37.5/3.9,2459.0,61.0
Bahamas,Latin America,0.78,0.97,1.05,0.19,4.46,0.14,6.84,0.05,0.0,1.18,8.27,0.04,9.55,2.71,3.95,0.72,3L,13940,395.0,39.5,1.4,82.9,8854.0,-1.7,22817.2,1.6,12.7,81.9,14.7,365,2904,...,13.2,51.4,2.4/6.3,0.0,90.0
