Country,Region,HDI,Footprint_Crop,Footprint_Graze,Footprint_Forest,Footprint_Carbon,Footprint_Fish,Footprint_Total,Land_Crop,Land_Grazing,Land_Forest,Water_Fishing,Land_Urban,Biocapacity_Total,Threat_Species,Emissions_CO2,BioCap_RD,Earths_Req,Countries_Req,Data_Quality
Afghanistan,Middle East/Central Asia,0.46,0.3,0.2,0.08,0.18,0.0,0.79,0.24,0.2,0.02,0.0,0.04,0.5,2.1,63.0,-0.3,0.46,1.6,6
Albania,Northern/Eastern Europe,0.73,0.78,0.22,0.25,0.87,0.02,2.21,0.55,0.21,0.29,0.07,0.06,1.18,28.2,84.0,-1.03,1.27,1.87,6
Algeria,Africa,0.73,0.6,0.16,0.17,1.14,0.01,2.12,0.24,0.27,0.03,0.01,0.03,0.59,0.8,5900.0,-1.53,1.22,3.61,5
Angola,Africa,0.52,0.33,0.15,0.12,0.2,0.09,0.93,0.2,1.42,0.64,0.26,0.04,2.55,46.5,3902.0,1.61,0.54,0.37,6
Argentina,Latin America,0.83,0.78,0.79,0.29,1.08,0.1,3.14,2.64,1.86,0.66,1.67,0.1,6.92,10.0,3167.0,3.78,1.82,0.45,6
Armenia,Middle East/Central Asia,0.73,0.74,0.18,0.34,0.89,0.01,2.23,0.44,0.26,0.1,0.02,0.07,0.89,11.7,48.0,-1.35,1.29,2.52,3
Australia,Asia-Pacific,0.93,2.68,0.63,0.89,4.85,0.11,9.31,5.42,5.81,2.01,3.19,0.14,16.57,16.2,15282.0,7.26,5.37,0.56,5
Austria,European Union,0.88,0.82,0.27,0.63,4.14,0.06,6.06,0.71,0.16,2.04,0.0,0.15,3.07,46.9,505.0,-3.0,3.5,1.98,5
Azerbaijan,Middle East/Central Asia,0.75,0.66,0.22,0.11,1.25,0.01,2.31,0.46,0.2,0.11,0.02,0.06,0.85,13.5,2459.0,-1.46,1.33,2.72,6
Bahamas,Latin America,0.78,0.97,1.05,0.19,4.46,0.14,6.84,0.05,0.0,1.18,8.27,0.04,9.55,51.4,0.0,2.71,3.95,0.72,3
Bahrain,Middle East/Central Asia,0.82,0.52,0.45,0.16,6.19,0.07,7.49,0.01,0.0,0.0,0.46,0.1,0.58,0.8,961.0,-6.91,4.33,12.96,3
Bangladesh,Asia-Pacific,0.56,0.29,0.0,0.08,0.26,0.02,0.72,0.25,0.0,0.0,0.05,0.07,0.38,11.0,1438.0,-0.35,0.42,1.92,6
Barbados,Latin America,0.79,0.56,0.24,0.14,3.28,0.22,4.48,0.08,0.0,0.02,0.04,0.04,0.19,14.7,2.0,-4.29,2.58,23.79,5
Belarus,Northern/Eastern Europe,0.8,1.32,0.12,0.91,2.57,0.08,5.09,1.52,0.3,1.71,0.02,0.09,3.64,42.5,155.0,-1.45,2.94,1.4,6
Belgium,European Union,0.89,1.15,0.48,0.99,4.43,0.12,7.44,0.56,0.03,0.28,0.04,0.27,1.19,22.6,520.0,-6.25,4.3,6.27,6
Benin,Africa,0.48,0.49,0.04,0.26,0.51,0.08,1.41,0.44,0.04,0.34,0.02,0.04,0.88,38.7,96.0,-0.53,0.81,1.61,6
Bhutan,Asia-Pacific,0.59,0.5,0.42,3.03,0.63,0.02,4.84,0.28,0.34,4.38,0.01,0.25,5.27,72.0,75.0,0.43,2.8,0.92,3
Bosnia and Herzegovina,Northern/Eastern Europe,0.73,0.63,0.27,0.44,1.74,0.02,3.12,0.3,0.19,1.13,0.0,0.02,1.63,42.7,252.0,-1.49,1.8,1.91,5
Botswana,Africa,0.69,0.3,0.89,0.24,2.36,0.01,3.83,0.06,2.49,0.63,0.27,0.02,3.47,19.3,47.0,-0.35,2.21,1.1,3
Brazil,Latin America,0.75,0.62,0.85,0.6,0.91,0.04,3.11,1.0,1.0,6.82,0.17,0.09,9.08,59.2,10948.0,5.97,1.8,0.34,5
Brunei Darussalam,Asia-Pacific,0.85,0.31,0.13,0.26,3.24,0.09,4.06,0.02,0.01,1.57,1.24,0.03,2.87,72.1,679.0,-1.19,2.34,1.41,3
Bulgaria,European Union,0.78,0.6,0.13,0.35,2.08,0.03,3.32,1.33,0.08,1.2,0.12,0.13,2.86,35.1,474.0,-0.46,1.92,1.16,5
